year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2024,常规批第2次,普通类,D418,江西服装学院,C4,软件工程,物理和化学,,4,5,23500
2024,常规批第2次,普通类,D421,南昌工学院,59,软件工程,物理和化学,,4,1,28300
2024,常规批第2次,普通类,D421,南昌工学院,62,数字媒体技术,物理和化学,,4,1,24600
2024,常规批第2次,普通类,D421,南昌工学院,64,数据科学与大数据技术,物理和化学,,4,1,22600
2024,常规批第2次,普通类,D431,南昌交通学院,06,通信工程（本专业大一至大三在靖安墨轩湖校区就读，大四在南昌黄家湖校区就读）,物理和化学,,4,3,19800
2024,常规批第2次,普通类,D431,南昌交通学院,12,给排水科学与工程（本专业大一至大三在靖安墨轩湖校区就读，大四在南昌黄家湖校区就读）,物理和化学,,4,1,19800
2024,常规批第2次,普通类,D431,南昌交通学院,16,软件工程（本专业大一至大三在靖安墨轩湖校区就读，大四在南昌黄家湖校区就读）,物理和化学,,4,1,21600
2024,常规批第2次,普通类,D431,南昌交通学院,17,智能科学与技术（本专业大一至大三在靖安墨轩湖校区就读，大四在南昌黄家湖校区就读）,物理和化学,,4,3,19800
2024,常规批第2次,普通类,D431,南昌交通学院,19,机械设计制造及其自动化（本专业大一至大三在靖安墨轩湖校区就读，大四在南昌黄家湖校区就读）,物理和化学,,4,1,21600
2024,常规批第2次,普通类,D468,阳光学院,01,计算机科学与技术,物理和化学,,4,2,34000
2024,常规批第2次,普通类,D468,阳光学院,02,电子信息工程,物理和化学,,4,4,34000
2024,常规批第2次,普通类,D468,阳光学院,05,人工智能,物理和化学,,4,3,34000
2024,常规批第2次,普通类,D511,兰州工商学院,0D,土木工程,物理和化学,,4,2,21800
2024,常规批第2次,普通类,D511,兰州工商学院,0J,网络工程,物理和化学,,4,1,21800
2024,常规批第2次,普通类,D514,兰州博文科技学院,26,智慧交通,物理和化学,,4,2,20000
2024,常规批第2次,普通类,D514,兰州博文科技学院,29,车辆工程,物理和化学,,4,2,20000
2024,常规批第2次,普通类,D514,兰州博文科技学院,37,机械设计制造及其自动化,物理和化学,,4,3,20000
2024,常规批第2次,普通类,D514,兰州博文科技学院,42,交通运输,物理和化学,,4,1,20000
2024,常规批第2次,普通类,D514,兰州博文科技学院,45,数字媒体技术,物理和化学,,4,1,20000
2024,常规批第2次,普通类,D514,兰州博文科技学院,48,土木工程,物理和化学,,4,2,20000
2024,常规批第2次,普通类,D514,兰州博文科技学院,52,机器人工程,物理和化学,,4,1,20000
2024,常规批第2次,普通类,D558,新疆理工学院,S1,过程装备与控制工程（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,3500
2024,常规批第2次,普通类,D569,西安交通工程学院,01,交通运输,物理和化学,,4,2,23980
2024,常规批第2次,普通类,D599,大连艺术学院,T4,园艺（不限语种，学校公共通识课的大学外语课程设英语、日语、韩语教学）,物理和化学,,4,27,29700
2024,常规批第2次,普通类,D600,长春光华学院,0L,机械工程,物理和化学,,4,6,25000
2024,常规批第2次,普通类,D600,长春光华学院,0M,机械设计制造及其自动化,物理和化学,,4,2,25000
2024,常规批第2次,普通类,D600,长春光华学院,0N,机械电子工程,物理和化学,,4,7,25000
2024,常规批第2次,普通类,D600,长春光华学院,0Q,智能制造工程,物理和化学,,4,3,25000
2024,常规批第2次,普通类,D600,长春光华学院,0R,电气工程及其自动化,物理和化学,,4,4,25000
2024,常规批第2次,普通类,D600,长春光华学院,0T,计算机科学与技术,物理和化学,,4,6,25000
2024,常规批第2次,普通类,D600,长春光华学院,0U,物联网工程,物理和化学,,4,3,25000
2024,常规批第2次,普通类,D600,长春光华学院,0V,数字媒体技术,物理和化学,,4,8,25000
2024,常规批第2次,普通类,D601,长春工业大学人文信息学院,04,车辆工程,物理和化学,,4,1,26000
2024,常规批第2次,普通类,D601,长春工业大学人文信息学院,10,机器人工程,物理和化学,,4,1,26000
2024,常规批第2次,普通类,D602,长春电子科技学院,19,机械电子工程,物理和化学,,4,5,26000
2024,常规批第2次,普通类,D605,长春建筑学院,02,电子信息工程,物理和化学,,4,3,25000
2024,常规批第2次,普通类,D605,长春建筑学院,03,通信工程,物理和化学,,4,1,25000
2024,常规批第2次,普通类,D605,长春建筑学院,05,自动化,物理和化学,,4,4,25000
2024,常规批第2次,普通类,D605,长春建筑学院,13,土木工程,物理和化学,,4,1,26000
2024,常规批第2次,普通类,D605,长春建筑学院,14,建筑环境与能源应用工程,物理和化学,,4,1,25000
2024,常规批第2次,普通类,D605,长春建筑学院,17,城市地下空间工程,物理和化学,,4,2,25000
2024,常规批第2次,普通类,D605,长春建筑学院,18,道路桥梁与渡河工程,物理和化学,,4,2,25000
2024,常规批第2次,普通类,D605,长春建筑学院,20,交通工程,物理和化学,,4,5,25000
2024,常规批第2次,普通类,D605,长春建筑学院,21,智慧交通,物理和化学,,4,3,25000
2024,常规批第2次,普通类,D607,吉林动画学院,20,新媒体技术,物理和化学,,4,8,26000
2024,常规批第2次,普通类,D607,吉林动画学院,21,软件工程,物理和化学,,4,5,25000
2024,常规批第2次,普通类,D607,吉林动画学院,29,数字媒体技术,物理和化学,,4,7,26000
2024,常规批第2次,普通类,D607,吉林动画学院,30,虚拟现实技术,物理和化学,,4,3,25000
2024,常规批第2次,普通类,D607,吉林动画学院,31,飞行器制造工程（无人机制造与应用工程方向）,物理和化学,,4,3,23000
2024,常规批第2次,普通类,D607,吉林动画学院,32,飞行器动力工程（航空机械维修工程方向）,物理和化学,,4,3,23000
2024,常规批第2次,普通类,D607,吉林动画学院,33,飞行器控制与信息工程（航空电子维修工程方向）,物理和化学,,4,4,23000
2024,常规批第2次,普通类,D613,安徽信息工程学院,A1,软件工程,物理和化学,,4,3,24600
2024,常规批第2次,普通类,D613,安徽信息工程学院,A5,电气工程及其自动化,物理和化学,,4,1,24600
2024,常规批第2次,普通类,D613,安徽信息工程学院,B0,机械设计制造及其自动化,物理和化学,,4,4,24600
2024,常规批第2次,普通类,D613,安徽信息工程学院,B4,智能制造工程,物理和化学,,4,2,24600
2024,常规批第2次,普通类,D614,马鞍山学院,0H,计算机科学与技术,物理和化学,,4,2,22500
2024,常规批第2次,普通类,D624,泰山科技学院,02,数据科学与大数据技术,物理和化学,,4,4,29800
2024,常规批第2次,普通类,D624,泰山科技学院,05,虚拟现实技术,物理和化学,,4,5,29800
2024,常规批第2次,普通类,D624,泰山科技学院,12,智能车辆工程,物理和化学,,4,8,29800
2024,常规批第2次,普通类,D624,泰山科技学院,15,土木工程,物理和化学,,4,6,29800
2024,常规批第2次,普通类,D624,泰山科技学院,17,智能建造,物理和化学,,4,12,29800
2024,常规批第2次,普通类,D624,泰山科技学院,19,通信工程,物理和化学,,4,9,29800
2024,常规批第2次,普通类,D624,泰山科技学院,21,物联网工程,物理和化学,,4,6,29800
2024,常规批第2次,普通类,D624,泰山科技学院,22,电信工程及管理,物理和化学,,4,24,29800
2024,常规批第2次,普通类,D624,泰山科技学院,23,人工智能,物理和化学,,4,2,29800
2024,常规批第2次,普通类,D641,桂林学院,35,数据科学与大数据技术,物理和化学,,4,2,19000
2024,常规批第2次,普通类,D641,桂林学院,36,电子信息工程,物理和化学,,4,1,19000
2024,常规批第2次,普通类,D641,桂林学院,37,物联网工程,物理和化学,,4,2,19000
2024,常规批第2次,普通类,D641,桂林学院,39,医学信息工程,物理和化学,,4,1,19000
2024,常规批第2次,普通类,D650,贵阳信息科技学院,04,电子信息工程,物理和化学,,4,2,18500
2024,常规批第2次,普通类,D679,西安建筑科技大学华清学院,14,给排水科学与工程（楼观校区）,物理和化学,,4,1,20000
2024,常规批第2次,普通类,D682,西安工商学院,17,数字媒体技术,物理和化学,,4,1,27500
2024,常规批第2次,普通类,D744,黑河学院,0E,计算机科学与技术（退档后缺额计划）,物理和化学,,4,1,4200
2024,常规批第2次,普通类,D766,泉州信息工程学院,09,机器人工程,物理和化学,,4,1,25800
2024,常规批第2次,普通类,D766,泉州信息工程学院,28,软件工程(中外合作办学)（中美4+0双学位，英语单科成绩不低于90分，与美国滨州滑石大学合作）,物理和化学,,4,2,38800
2024,常规批第2次,普通类,D773,福州理工学院,01,物联网工程,物理和化学,,4,2,28500
2024,常规批第2次,普通类,D773,福州理工学院,0B,土木工程,物理和化学,,4,3,26500
2024,常规批第2次,普通类,D830,广西外国语学院,01,英语（一年级在广西扶绥县中国-东盟南宁空港经济区空港校区就读，二、三、四年级在广西南宁市五合校区就读）（新增计划）,不限,,4,1,25200
2024,常规批第2次,普通类,D830,广西外国语学院,0Y,人工智能（一年级在广西扶绥县中国-东盟南宁空港经济区空港校区就读，二、三、四年级在广西南宁市五合校区就读）,物理和化学,,4,1,25200
