year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2025,271,975,631231,235,295244,203,282221,290,247522,662,329675,745,330873,790,408157
2025,270,877,632108,211,295455,181,282402,296,247818,592,330267,655,331528,696,408853
2025,269,897,633005,221,295676,189,282591,266,248084,599,330866,674,332202,742,409595
2025,268,943,633948,229,295905,195,282786,283,248367,638,331504,715,332917,769,410364
2025,267,887,634835,202,296107,181,282967,252,248619,597,332101,690,333607,739,411103
2025,266,909,635744,193,296300,169,283136,293,248912,600,332701,709,334316,763,411866
2025,265,958,636702,213,296513,182,283318,279,249191,650,333351,750,335066,800,412666
2025,264,874,637576,189,296702,156,283474,224,249415,616,333967,694,335760,743,413409
2025,263,880,638456,189,296891,164,283638,271,249686,612,334579,683,336443,721,414130
2025,262,850,639306,173,297064,163,283801,264,249950,592,335171,664,337107,694,414824
2025,261,830,640136,177,297241,168,283969,234,250184,580,335751,645,337752,686,415510
2025,260,794,640930,185,297426,158,284127,244,250428,536,336287,608,338360,651,416161
2025,259,823,641753,159,297585,133,284260,231,250659,598,336885,668,339028,680,416841
2025,258,813,642566,174,297759,153,284413,231,250890,565,337450,639,339667,677,417518
2025,257,812,643378,197,297956,163,284576,248,251138,552,338002,620,340287,656,418174
2025,256,779,644157,181,298137,154,284730,239,251377,534,338536,597,340884,632,418806
2025,255,803,644960,181,298318,149,284879,243,251620,554,339090,622,341506,660,419466
2025,254,759,645719,168,298486,135,285014,234,251854,512,339602,594,342100,634,420100
2025,253,739,646458,150,298636,140,285154,204,252058,519,340121,584,342684,620,420720
2025,252,752,647210,154,298790,129,285283,223,252281,526,340647,596,343280,628,421348
2025,251,779,647989,166,298956,140,285423,243,252524,530,341177,613,343893,645,421993
2025,250,741,648730,178,299134,158,285581,227,252751,496,341673,564,344457,600,422593
2025,249,714,649444,132,299266,110,285691,214,252965,516,342189,580,345037,590,423183
2025,248,745,650189,149,299415,130,285821,247,253212,527,342716,590,345627,592,423775
2025,247,749,650938,184,299599,149,285970,221,253433,513,343229,566,346193,614,424389
2025,246,642,651580,132,299731,121,286091,200,253633,433,343662,510,346703,530,424919
2025,245,691,652271,165,299896,144,286235,223,253856,461,344123,523,347226,557,425476
2025,244,692,652963,151,300047,131,286366,196,254052,480,344603,543,347769,575,426051
2025,243,698,653661,152,300199,142,286508,210,254262,484,345087,533,348302,573,426624
2025,242,606,654267,139,300338,119,286627,181,254443,424,345511,469,348771,486,427110
2025,241,617,654884,132,300470,107,286734,193,254636,437,345948,488,349259,494,427604
